razao_social;cnpj
3 R DISTRIBUIDORA DE GAS LTDA;3,60969E+13
AGGAS COMERCIO DE GAS E AGUA DOIS JOAO LTDA;1,43137E+13
AGRIIGAS COMERCIO DE GLP LTDA;5,31106E+13
A H MOURA;3,70979E+13
A H MOURA LTDA;4,5937E+13
ALBERI G DE ARAUJO;09443646000118
ALBUQUERQUE E SALES COMERCIO DE DERIVADOS DE PETROLEO LTDA;1,17638E+13
ALDEOTA GAS COMERCIO VAREJISTA DE GLP LTDA;5,96763E+13
ALFA COMERCIO DE COMBUSTIVEIS LTDA;3,51573E+13
ALMEIDA COMERCIO DE DERIVADOS DE PETROLEO LTDA;01816133000284
ANTONIO JOSE DOS SANTOS E CIA LTDA;05582036000144
ANTONIO SITONHO BEZERRA FILHO;1,12254E+13
ANTONIO SITONHO BEZERRA FILHO;1,12254E+13
AQUI COMERCIO DE GAS LTDA;4,16416E+13
AQUI COMERCIO DE GAS LTDA;4,16416E+13
A R VICENTE DO NASCIMENTO;09434623000147
A SOARES DE SALES LTDA;5,98894E+13
ASSUNCAO COMERCIAL DE GAS BUTANO LTDA;05369749000124
BARREIRA COMERCIAL DE GAS LTDA;4,12388E+13
BARROSO GAS COMERCIO VAREJISTA DE GLP;5,9056E+13
BATISTA E OLIVEIRA COMERCIAL DE PETROLEO LTDA;3,10074E+13
BELA VISTA COMERCIAL DE GAS LTDA;00288451000176
BELA VISTA COMERCIAL DE GAS LTDA;00288451000257
BELA VISTA COMERCIAL DE GLP LTDA;3,72677E+13
BELA VISTA COMERCIAL DE GLP LTDA;3,72677E+13
BELA VISTA COMERCIAL DE GLP LTDA;3,72677E+13
BIA COMERCIO DE GLP LTDA;3,97147E+13
BOA VIAGEM COMERCIAL DE GAS LTDA;07269310000155
BOA VIAGEM COMERCIAL DE GAS LTDA;07269310000236
BUTANO RAMALHO COMERCIO DE GLP LTDA;06977615000159
BUTANO RAMALHO COMERCIO DE GLP LTDA;06977615000663
BUTANO RAMALHO COMERCIO DE GLP LTDA;06977615000310
CAMOCIM GAS LTDA;05208378000360
CAMOCIM GAS LTDA;05208378000441
CAMOCIM GAS LTDA;05208378000107
CAPITAL GAS COMERCIO VAREJISTA DE GLP LTDA;3,63746E+13
CARLINHOS PEDRASSANI COMERCIO DE GAS LTDA;2,73753E+13
CARLOS ALBERTO PEDRASSANI COMERCIO DE GLP EIRELI;07692987000100
CARLOS ALBERTO SILVA PEDRASSANI;1,4252E+13
CARLOS AUGUSTO DA PAZ ROCHA;1,23555E+13
CASTELO GAS COMERCIAL EIRELI;08466198000105
CASTRO E LAVOR COMERCIO DE GAS LTDA;2,34601E+13
CAVALCANTE COMERCIO DE GAS LTDA;5,73906E+13
CHAMA CERTA LTDA;4,22469E+13
C H COMERCIO DE GAS LTDA;08911835000962
C H COMERCIO DE GAS LTDA;08911835000610
C H COMERCIO DE GAS LTDA;08911835000296
C H COMERCIO DE GAS LTDA;08911835001187
C H COMERCIO DE GAS LTDA;08911835000539
C H COMERCIO DE GAS LTDA;08911835000458
C H COMERCIO DE GAS LTDA;08911835000881
C H COMERCIO DE GAS LTDA;08911835000105
C H COMERCIO DE GAS LTDA;08911835001004
C H COMERCIO DE GAS LTDA;08911835000709
C H DISTRIBUIDORA DE GAS LTDA;08571484000726
C H DISTRIBUIDORA DE GAS LTDA;08571484000564
C H DISTRIBUIDORA DE GAS LTDA;08571484000645
C H DISTRIBUIDORA DE GAS LTDA;08571484000211
C H DISTRIBUIDORA DE GAS LTDA;08571484000300
C H NOGUEIRA COMERCIO DE GAS LTDA;6,97017E+13
C H NOGUEIRA COMERCIO DE GAS LTDA;6,97017E+13
C H NOGUEIRA COMERCIO DE GAS LTDA;6,97017E+13
C H NOGUEIRA COMERCIO DE GAS LTDA;6,97017E+13
C H NOGUEIRA COMERCIO DE GAS LTDA;6,97017E+13
C H NOGUEIRA COMERCIO DE GAS LTDA;6,97017E+13
C H NOGUEIRA COMERCIO DE GAS LTDA;6,97017E+13
C H NOGUEIRA COMERCIO DE GAS LTDA;6,97017E+13
CLAUDIA MARIA FERREIRA APOLONIO;1,11218E+13
CLAUDIA MARIA FERREIRA APOLONIO;1,11218E+13
COMERCIAL DE COMBUSTIVEIS E GAS MEDEIROS LTDA;01643072000209
COMERCIAL DE GAS OH LTDA;1,79324E+13
COMERCIAL DE GAS PAI E FILHO PENTECOSTE LTDA;2,2356E+13
COMERCIAL DE GAS PEIXOTO LTDA;04248030000768
COMERCIAL DE GAS PEIXOTO LTDA;04248030000172
COMERCIAL DE GAS PEIXOTO LTDA;04248030000687
COMERCIAL DE GAS PEIXOTO LTDA;04248030000253
COMERCIAL DE GAS SILVEIRA SAO FRANCISCO LTDA;02635912000165
COMERCIAL DE GAS TABULEIRO LTDA;06239697000134
COMERCIO DE GAS E AGUA AMONTADA LTDA;1,52343E+13
COMERCIO DE GAS LP LTDA;4,88176E+13
COMERCIO DE GAS MELO NOGUEIRA LTDA;09140313000110
COMPLEXO GAS COMERCIO DE GLP LTDA;5,4803E+13
C R CAVALCANTE BARBOSA;05489738000188
DAVID LOPES DA SILVA;1,17667E+13
DELTA DISTRIBUIDORA DE GAS LTDA;1,1701E+13
DELTA DISTRIBUIDORA DE GAS LTDA;1,1701E+13
DELTA DISTRIBUIDORA DE GAS LTDA;1,1701E+13
DELTA DISTRIBUIDORA DE GAS LTDA;1,1701E+13
DELTA DISTRIBUIDORA DE GAS LTDA;1,1701E+13
DELTA DISTRIBUIDORA DE GAS LTDA;1,1701E+13
DELTA DISTRIBUIDORA DE GAS LTDA;1,1701E+13
DELTA DISTRIBUIDORA DE GAS LTDA;1,1701E+13
D E S COMERCIO VAREJISTA DE GLP LTDA;5,55135E+13
DEUS TE PAGUE COMERCIAL DE GAS LTDA;1,3519E+13
D F MACEDO;1,72616E+13
DIEGO ANTONINO MARTINS ALVES;1,05359E+13
DIEGO ANTONINO MARTINS ALVES;1,05359E+13
DISTRIBUIDORA DE GAS DAS MARES LTDA;1,2878E+13
DISTRIBUIDORA DE GAS SANTA RITA LTDA;4,15713E+13
DL DISTRIBUIDORA DE GAS LTDA;2,22694E+13
DUNAS GAS COMERCIAL LTDA;03312830000142
E A DUTRA VASCONCELOS LTDA;1,06761E+13
E C NOBRE COMERCIO DE GAS LTDA;1,26267E+13
E DE PAULA JUNIOR EIRELI;3,95926E+13
EDUARDO LIMA ARAUJO;05241369000100
E J COMERCIO VAREJISTA DE GLP LTDA;3,71062E+13
ELISETE BATISTA BARROSO;3,51424E+13
ELY GAS COMERCIAL LTDA;3,20463E+13
FEIJO COMERCIO DE GLP LTDA;1,23517E+13
F G GAS LTDA;07442301000114
F HAROLDO VASCONCELOS E CIA LTDA;07900111000446
FIELGAS REVENDEDOR DE GAS LTDA;06160331000175
FORTALEZA COMERCIO VAREJISTA DE GLP LTDA;3,65342E+13
FP COMERCIO DE GAS LTDA;03756971000740
FP COMERCIO DE GAS LTDA;03756971000154
FP COMERCIO DE GAS LTDA;03756971000820
FP COMERCIO DE GAS LTDA;03756971000316
FRANCA PINTO E CIA LTDA;1,55893E+13
FRANCA PINTO E CIA LTDA;1,55893E+13
FRANCISCA FRANCO DA SILVA;01565230000160
