cnpj,razao_social,nome_fantasia,cep,endereco,bairro,cidade,uf,telefone,whatsapp,canal_preferencial,latitude,longitude,ativo,service_radius_km,prioridade,atende_empresarial,atende_residencial
36096913,3 R DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
14313713,AGGAS COMERCIO DE GAS E AGUA DOIS JOAO LTDA,,,,,,,,,,,,True,,0,True,True
53110613,AGRIIGAS COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
37097913,A H MOURA,,,,,,,,,,,,True,,0,True,True
4593713,A H MOURA LTDA,,,,,,,,,,,,True,,0,True,True
09443646000118,ALBERI G DE ARAUJO,,,,,,,,,,,,True,,0,True,True
11763813,ALBUQUERQUE E SALES COMERCIO DE DERIVADOS DE PETROLEO LTDA,,,,,,,,,,,,True,,0,True,True
59676313,ALDEOTA GAS COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
35157313,ALFA COMERCIO DE COMBUSTIVEIS LTDA,,,,,,,,,,,,True,,0,True,True
01816133000284,ALMEIDA COMERCIO DE DERIVADOS DE PETROLEO LTDA,,,,,,,,,,,,True,,0,True,True
05582036000144,ANTONIO JOSE DOS SANTOS E CIA LTDA,,,,,,,,,,,,True,,0,True,True
11225413,ANTONIO SITONHO BEZERRA FILHO,,,,,,,,,,,,True,,0,True,True
11225413,ANTONIO SITONHO BEZERRA FILHO,,,,,,,,,,,,True,,0,True,True
41641613,AQUI COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
41641613,AQUI COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
09434623000147,A R VICENTE DO NASCIMENTO,,,,,,,,,,,,True,,0,True,True
59889413,A SOARES DE SALES LTDA,,,,,,,,,,,,True,,0,True,True
05369749000124,ASSUNCAO COMERCIAL DE GAS BUTANO LTDA,,,,,,,,,,,,True,,0,True,True
41238813,BARREIRA COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
5905613,BARROSO GAS COMERCIO VAREJISTA DE GLP,,,,,,,,,,,,True,,0,True,True
31007413,BATISTA E OLIVEIRA COMERCIAL DE PETROLEO LTDA,,,,,,,,,,,,True,,0,True,True
00288451000176,BELA VISTA COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
00288451000257,BELA VISTA COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
37267713,BELA VISTA COMERCIAL DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
37267713,BELA VISTA COMERCIAL DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
37267713,BELA VISTA COMERCIAL DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
39714713,BIA COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
07269310000155,BOA VIAGEM COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07269310000236,BOA VIAGEM COMERCIAL DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
06977615000159,BUTANO RAMALHO COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
06977615000663,BUTANO RAMALHO COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
06977615000310,BUTANO RAMALHO COMERCIO DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
05208378000360,CAMOCIM GAS LTDA,,,,,,,,,,,,True,,0,True,True
05208378000441,CAMOCIM GAS LTDA,,,,,,,,,,,,True,,0,True,True
05208378000107,CAMOCIM GAS LTDA,,,,,,,,,,,,True,,0,True,True
36374613,CAPITAL GAS COMERCIO VAREJISTA DE GLP LTDA,,,,,,,,,,,,True,,0,True,True
27375313,CARLINHOS PEDRASSANI COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
07692987000100,CARLOS ALBERTO PEDRASSANI COMERCIO DE GLP EIRELI,,,,,,,,,,,,True,,0,True,True
1425213,CARLOS ALBERTO SILVA PEDRASSANI,,,,,,,,,,,,True,,0,True,True
12355513,CARLOS AUGUSTO DA PAZ ROCHA,,,,,,,,,,,,True,,0,True,True
08466198000105,CASTELO GAS COMERCIAL EIRELI,,,,,,,,,,,,True,,0,True,True
23460113,CASTRO E LAVOR COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
57390613,CAVALCANTE COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
42246913,CHAMA CERTA LTDA,,,,,,,,,,,,True,,0,True,True
08911835000962,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08911835000610,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08911835000296,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08911835001187,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08911835000539,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08911835000458,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08911835000881,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08911835000105,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08911835001004,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08911835000709,C H COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08571484000726,C H DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08571484000564,C H DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08571484000645,C H DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08571484000211,C H DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
08571484000300,C H DISTRIBUIDORA DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
69701713,C H NOGUEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
69701713,C H NOGUEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
69701713,C H NOGUEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
69701713,C H NOGUEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
69701713,C H NOGUEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
69701713,C H NOGUEIRA COMERCIO DE GAS LTDA,,,,,,,,,,,,True,,0,True,True
